Exit Time,Action,Ticker,Amount,Entry Price ($),Exit Price ($),Profit ($),Confidence (%)
2026-03-30 11:11:51.401358,BUY,XAU-USD,1.545900,4507.11,,0.00,44.9%
2026-03-30 11:12:51.812528,BUY,XAU-USD,1.529400,4509.01,,0.00,22.7%
2026-03-30 11:13:52.103178,BUY,XAU-USD,1.511800,4509.87,,0.00,42.9%
2026-03-30 11:14:52.436615,BUY,XAU-USD,1.491600,4509.35,,0.00,4.0%
2026-03-30 11:15:52.720331,BUY,XAU-USD,1.494600,4514.58,,0.00,4.6%
2026-03-30 11:16:52.978128,BUY,XAU-USD,1.477200,4511.55,,0.00,2.9%
2026-03-30 11:17:53.222985,BUY,XAU-USD,1.471900,4513.07,,0.00,26.9%
2026-03-30 11:18:53.500305,BUY,XAU-USD,1.462400,4513.09,,0.00,34.1%
2026-03-30 11:19:53.783652,BUY,XAU-USD,1.476700,4520.40,,0.00,21.2%
2026-03-30 11:21:08.340642,BUY,XAU-USD,1.462700,4519.01,,0.00,11.4%
2026-03-30 11:23:10.719859,BUY,XAU-USD,1.476800,4525.55,,0.00,17.2%
2026-03-30 11:24:10.954066,BUY,XAU-USD,1.478200,4528.39,,0.00,27.8%
2026-03-30 11:25:11.212484,BUY,XAU-USD,1.456100,4525.29,,0.00,3.3%
2026-03-30 11:26:11.449534,BUY,XAU-USD,1.441000,4523.99,,0.00,6.1%
2026-03-30 11:27:11.713016,BUY,XAU-USD,1.443300,4526.61,,0.00,14.4%
2026-03-30 11:28:12.026354,BUY,XAU-USD,1.429000,4525.62,,0.00,34.8%
2026-03-30 11:29:12.333116,BUY,XAU-USD,1.406200,4522.93,,0.00,45.2%
2026-03-30 11:34:07.328442,BUY,XAG-USD,672.747400,70.61,,0.00,0.0%
2026-03-30 11:35:07.578666,BUY,XAG-USD,666.468700,70.68,,0.00,0.0%
2026-03-30 11:36:07.802022,BUY,XAG-USD,659.854800,70.65,,0.00,0.0%
2026-03-30 11:37:08.044795,BUY,XAG-USD,654.664300,70.72,,0.00,0.0%
2026-03-30 11:38:08.326747,BUY,XAG-USD,649.907800,70.78,,0.00,0.0%
2026-03-30 11:39:08.586148,BUY,XAG-USD,643.228900,70.77,,0.00,0.0%
2026-03-30 11:40:08.875918,BUY,XAG-USD,630.238600,70.62,,0.00,0.0%
2026-03-30 11:41:09.125671,BUY,XAG-USD,629.247200,70.72,,0.00,0.0%
2026-03-30 11:42:09.383867,BUY,XAG-USD,626.650700,70.78,,0.00,0.0%
2026-03-30 11:43:09.637528,BUY,XAG-USD,611.110000,70.65,,0.00,0.0%
2026-03-30 11:44:09.921264,BUY,XAG-USD,603.880600,70.64,,0.00,0.0%
2026-03-30 11:45:10.175882,BUY,XAG-USD,596.784100,70.62,,0.00,0.0%
2026-03-30 11:46:10.408070,BUY,XAG-USD,585.400500,70.56,,0.00,0.0%
2026-03-30 11:47:10.644497,BUY,XAG-USD,583.703100,70.61,,0.00,0.0%
2026-03-30 11:48:10.883635,BUY,XAG-USD,577.815600,70.61,,0.00,0.0%
2026-03-30 11:49:11.136462,BUY,XAG-USD,578.819200,70.66,,0.00,0.0%
2026-03-30 11:50:11.442394,BUY,XAG-USD,559.058700,70.55,,0.00,0.0%
2026-03-30 11:51:15.374945,SELL (Square Off - SL),XAG-USD,10529.580200,70.66,70.50,-1708.22,100.0%
2026-03-30 11:51:15.597548,BUY,XAG-USD,10549.608800,70.50,,0.00,0.0%
2026-03-30 11:52:15.930172,BUY,XAG-USD,549.751100,70.54,,0.00,0.0%
2026-03-30 11:53:16.240672,BUY,XAG-USD,554.402500,70.61,,0.00,0.0%
2026-03-30 11:54:16.461519,BUY,XAG-USD,548.133700,70.60,,0.00,0.0%
2026-03-30 11:57:20.803393,BUY,XAU-USD,8.512200,4528.91,,0.00,0.0%
2026-03-30 12:02:21.223448,BUY,XAU-USD,8.423900,4528.98,,0.00,0.0%
2026-03-30 12:09:21.677407,BUY,XAU-USD,8.528400,4533.08,,0.00,0.0%
2026-03-30 12:22:22.623149,BUY,XAU-USD,8.449000,4541.37,,0.00,0.0%
2026-03-30 14:54:47.991257,BUY,XAU-USD,8.839300,4537.36,,0.00,0.0%
2026-03-30 14:57:32.754454,BUY,XAU-USD,8.742800,4529.11,,0.00,0.0%
2026-03-30 14:59:48.728093,BUY,XAU-USD,8.676500,4528.14,,0.00,0.0%
2026-03-30 15:02:33.211534,BUY,XAU-USD,8.400000,4526.39,,0.00,0.0%
2026-03-30 15:04:49.234354,BUY,XAU-USD,8.120700,4524.92,,0.00,0.0%
2026-03-30 15:18:50.253023,BUY,XAU-USD,9.228600,4534.96,,0.00,0.0%
2026-03-30 15:19:34.333874,BUY,XAU-USD,9.085300,4533.43,,0.00,0.0%
2026-03-30 15:59:49.448444,BUY,XAU-USD,8.008100,4529.53,,0.00,0.0%
2026-03-30 15:59:49.833351,BUY,XAU-USD,7.928800,4531.34,,0.00,0.0%
2026-03-30 18:00:25.990555,BUY,XAU-USD,9.632000,4564.80,,0.00,0.0%
2026-03-30 18:09:06.392047,BUY,XAU-USD,10.225000,4569.57,,0.00,0.0%
2026-03-30 18:09:32.481096,BUY,XAU-USD,10.203900,4570.20,,0.00,0.0%
2026-03-30 18:15:33.070580,BUY,XAU-USD,9.919100,4571.35,,0.00,0.0%
2026-03-30 18:16:07.020843,BUY,XAU-USD,9.941000,4571.72,,0.00,0.0%
2026-03-30 18:20:33.597827,BUY,XAU-USD,9.870400,4569.19,,0.00,0.0%
2026-03-30 18:21:07.504423,BUY,XAU-USD,9.689900,4568.16,,0.00,0.0%
2026-03-30 18:25:34.082065,BUY,XAU-USD,9.502500,4567.35,,0.00,0.0%
2026-03-30 18:26:11.032199,BUY,AUDJPY,390.124200,109.38,,0.00,0.0%
2026-03-30 18:31:11.645913,BUY,AUDJPY,407.839800,109.37,,0.00,0.0%
2026-03-30 18:35:08.467214,BUY,XAU-USD,9.872000,4571.24,,0.00,0.0%
2026-03-30 18:37:12.168815,BUY,AUDJPY,375.150800,109.34,,0.00,0.0%
2026-03-30 18:40:09.188691,BUY,XAU-USD,8.664800,4568.03,,0.00,0.0%
2026-03-30 21:08:01.657245,BUY,AUDJPY,311.157700,109.34,,0.00,0.0%
2026-03-30 21:13:05.243913,BUY,AUDJPY,308.872100,109.31,,0.00,0.0%
2026-03-31 09:40:44.751050,BUY,XAU-USD,9.998900,4559.37,,0.00,0.0%
2026-03-31 09:46:09.158816,BUY,XAU-USD,9.935900,4559.23,,0.00,0.0%
